PaNr;Rohr;Blickrichtung;Tiefe;Bonitur;Datum;TK;PARZNR;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBE;Nduengung
11;1;1;5;2.5;34834;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;10;3;34834;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;15;4.5;34834;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;20;3;34834;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;25;3;34834;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;30;3.5;34834;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;35;3;34834;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;40;3.5;34834;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;45;2;34834;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;50;0;34834;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;55;2.5;34834;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;60;0.5;34834;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;65;0;34834;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;70;2.5;34834;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;75;;34834;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;80;2;34834;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;85;2;34834;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;90;0.5;34834;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;95;0;34834;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;100;0;34834;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;105;0;34834;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;110;0;34834;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;115;0;34834;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;1;120;0;34834;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;5;0.5;34834;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;10;1;34834;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;15;1;34834;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;20;1.5;34834;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;25;4.5;34834;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;30;2.5;34834;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;35;3.5;34834;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;40;2;34834;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;45;2.5;34834;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;50;2.5;34834;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;55;0.5;34834;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;60;1;34834;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;65;15;34834;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;70;3;34834;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;75;1.5;34834;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;80;0;34834;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;85;0.5;34834;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;90;1;34834;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;95;1;34834;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;100;0;34834;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;105;0;34834;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;110;0;34834;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
