Year;DOY;Nrate;ShootDM
1995;114;normal;98.52
1995;142;normal;528.46
1995;171;normal;1117.84
1995;199;normal;1714.4
1995;221;normal;1690.47
1995;114;reduced;92.91
1995;142;reduced;505.1
1995;171;reduced;1110.31
1995;199;reduced;1725.61
1995;221;reduced;1666.83
1996;129;normal;47.29
1996;150;normal;120.28
1996;171;normal;748.48
1996;240;normal;1340.28
1996;129;reduced;50.56
1996;150;reduced;144.92
1996;171;reduced;701.35
1996;240;reduced;1124.32
1997;104;normal;40.37
1997;133;normal;177.65
1997;153;normal;723.32
1997;174;normal;1093.39
1997;224;normal;1424.3
1997;104;reduced;36.47
1997;133;reduced;150.87
1997;153;reduced;596.14
1997;174;reduced;1210.97
1997;224;reduced;1385.62
