Datum;PaNr;Tiefe;Raster;Schnittpunkte;WLD;BLOCK;FRUFOL;KULTUR1;KULTUR2;BOBE;Nduengung;Vord
34870;11;15;9;271;2.542;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
34870;11;30;7.5;347;2.712;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
34870;11;45;5;164;0.855;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
34870;11;60;7.5;258;2.016;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
34870;11;75;1;290;0.302;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
34870;11;90;5;202;1.053;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
34870;11;105;5;131;0.683;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
34870;11;120;2.5;199;0.518;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
34870;11;15;5;217;1.131;1;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
34870;11;30;7.5;283;2.212;1;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
34870;11;45;7.5;196;1.532;1;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
34870;11;60;9;126;1.182;1;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
34870;11;75;2.5;220;0.573;1;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
34870;11;90;1;225;0.234;1;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
34870;11;105;1;59;0.061;1;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
34870;11;120;1;9;0.009;1;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
34870;16;15;7.5;181;1.415;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
34870;16;30;9;321;3.011;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
34870;16;45;1;173;0.18;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
34870;16;60;5;175;0.912;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
34870;16;75;2.5;241;0.628;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
34870;16;90;1;123;0.128;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
34870;16;105;1;207;0.216;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
34870;16;120;1;134;0.14;1;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
34870;16;15;7.5;202;1.579;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
34870;16;30;5;252;1.313;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
