Time;Rain;GlobRad;TMPM;LF;Wind;TMPMX;TMPMN
34425;5.60;10.60;10.21;73.59;8.52;14.56;6.34
34426;1.40;8.28;5.38;82.03;5.31;7.88;2.32
34427;0.00;14.42;4.45;80.21;3.79;7.55;1.28
34428;4.18;3.07;4.57;77.31;7.91;6.25;2.84
34429;2.59;15.85;4.92;72.64;7.17;8.85;1.33
34430;0.00;13.50;5.72;74.54;3.05;8.83;2.92
34431;0.00;15.50;5.46;75.35;1.87;9.49;1.37
34432;0.00;15.82;6.87;72.41;2.60;11.31;2.05
34433;3.79;9.11;5.76;77.94;5.27;8.56;4.03
34434;3.39;13.28;5.49;73.03;3.73;8.59;1.35
34435;0.60;3.37;6.59;89.40;3.87;8.85;4.93
34436;1.00;7.27;9.03;85.64;4.31;12.78;6.24
34437;29.44;1.62;7.48;87.83;6.41;8.76;5.77
34438;0.00;8.17;6.06;75.76;6.59;7.88;4.52
34439;0.00;18.62;7.14;66.72;1.98;10.87;2.99
34440;0.00;11.29;7.47;78.10;2.87;11.33;2.96
34441;0.00;16.84;7.21;70.35;4.17;10.43;3.51
34442;0.00;14.04;5.36;59.98;2.55;9.96;0.45
34443;0.00;19.56;6.05;67.32;1.58;11.50;-0.07
34444;0.00;16.41;8.79;68.53;1.37;14.67;1.36
34445;0.00;13.87;11.68;58.27;1.57;15.74;8.67
34446;0.00;19.53;12.08;66.09;2.25;17.06;6.54
34447;0.00;17.09;15.02;59.19;3.02;21.40;8.88
34448;0.00;17.20;15.29;61.64;2.11;21.50;9.02
34449;10.35;13.86;13.99;78.31;2.62;19.09;10.47
34450;1.19;19.11;12.42;74.81;3.03;17.14;8.08
34451;0.00;16.15;14.63;81.09;2.42;18.58;10.82
34452;0.00;8.31;15.83;84.50;2.42;18.94;13.98
34453;0.00;18.68;16.00;78.70;1.58;20.77;10.84
34454;0.40;15.50;15.33;77.76;3.55;21.68;8.92
34455;0.00;7.21;7.48;72.23;4.56;8.53;4.47
34456;0.00;20.23;7.97;71.96;1.57;13.69;1.40
34457;0.00;23.79;11.88;61.48;4.02;18.18;4.54
34458;3.58;6.20;10.13;83.32;2.50;14.42;7.49
34459;10.75;7.38;9.85;88.73;2.99;12.48;8.32
