"Datum","Rohr","Blickrichtung","Tiefe","Bonitur","TK","PaNr","BLOCK","FRUFOL","KULTUR1","KULTUR2","BOBE","Nduengung","Termin2","Date","Jahr","Monat","Termin","YearBlock","MainPlot","doy"
34815,"a","left",5,0.5,15,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",10,1,15,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",15,0.5,15,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",20,0.5,30,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",25,2.5,30,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",30,2,30,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",35,3,45,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",40,4,45,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",45,3,45,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",50,2.5,60,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",55,2,60,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",60,1,60,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",65,2,75,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",70,2.5,75,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",75,0,75,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",80,0,90,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",85,0,90,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",90,0,90,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",95,0,105,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",100,0,105,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",105,0,105,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",110,0,120,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",115,0,120,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","left",120,0,120,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",5,2,15,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",10,2,15,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",15,1,15,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",20,3,30,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",25,4.5,30,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",30,5,30,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",35,4,45,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",40,2.5,45,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",45,4,45,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",50,2,60,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",55,1.5,60,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",60,1,60,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",65,1,75,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
34815,"a","right",70,0,75,73,3,"Gemüse","Weizen","Spinat","Pflug","red",1,1995-04-26,"1995","Apr",1,"1995_3","1995_3_Gemüse",116
